sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,0.0,0.512702,,,,,,,0.0,4513.0,1.00839,0.71,,4.28207,861.467,16.147,13.461,15.7659,EPIC 211534342,0
1.0,0.0,0.539696,,,,,,,0.0,,,,,,,15.318,13.361,,EPIC 211535481,0
1.0,0.0,0.597258,,,,,,,0.0,5374.42,1.47741,0.93,-0.206,4.06755,751.35,13.882,12.119,13.6656,EPIC 211538193,0
1.0,0.0,0.620388,,,,,,,0.0,7577.62,1.48463,1.76,-0.4425,4.34034,1327.76,13.475,12.559,13.3569,EPIC 211540348,0
1.0,0.0,17.325857,,,,,,,0.0,6047.27,3.05384,1.12,-0.383,3.51759,1221.61,12.778,11.294,12.5727,EPIC 211563123,0
1.0,0.0,6.2043,0.0661,,1.8527,,,,0.0,,,,,,577.993,13.988,12.146,13.7468,EPIC 211572480,0
1.0,0.0,1.359386,,,,,,,0.0,5723.55,1.28259,1.02,0.0412,4.23049,359.283,12.095,10.446,12.0072,EPIC 211589784,0
1.0,0.0,0.630717,,,,,,,0.0,6591.15,1.57514,1.37,-0.6286,4.18015,1495.88,14.135,12.885,14.0604,EPIC 211600389,0
1.0,0.0,0.630718,,,,,,,0.0,,,,,,,,14.142,19.2896,EPIC 211600632,0
1.0,0.0,12.427163,,,,,,,0.0,6435.2,2.39747,1.3,-0.2312,3.7925,1133.61,12.759,11.531,12.6528,EPIC 211604981,0
1.0,0.0,1.348851,,,,,,,0.0,6311.4,1.38773,1.24,-0.2147,4.24688,657.88,12.804,11.481,12.7802,EPIC 211607670,0
1.0,0.0,1.490219,,,,,,,0.0,7175.46,1.72824,1.6,-0.397,4.16698,1212.71,13.127,12.335,13.0426,EPIC 211607804,0
1.0,0.0,0.9587591,,,39.0,,,,0.0,,1.171,,,,352.388,12.985,10.825,12.7021,EPIC 211613886,0
1.0,0.0,11.100314,,,,,,,0.0,4928.18,3.70395,,-0.3181,,1179.64,13.382,10.794,13.1224,EPIC 211619120,0
1.0,0.0,0.921358,,,,,,,0.0,5255.22,1.30486,0.9,0.08,4.16118,1437.76,15.625,13.73,15.4489,EPIC 211621644,0
